time;logger;level;message;exception
2012-01-17 21:35:43.2724;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 401604608
  PollingInterval     = 00:02:00";
2012-01-17 21:35:43.3095;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096";
2012-01-17 21:35:46.6884;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index AlbumsByCountSold:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByCountSold : AbstractViewGenerator
{
	public Index_AlbumsByCountSold()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.CountSold };
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.CountSold, __document_id = album.__document_id });
		this.AddField(""__document_id"");
		this.AddField(""CountSold"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""CountSold"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""CountSold"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByCountSold : AbstractViewGenerator
{
	public Index_AlbumsByCountSold()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.CountSold };
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.CountSold, __document_id = album.__document_id });
		this.AddField(""__document_id"");
		this.AddField(""CountSold"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""CountSold"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""CountSold"");
	}
}
";
2012-01-17 21:35:46.8710;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index AlbumsByGenre:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByGenre : AbstractViewGenerator
{
	public Index_AlbumsByGenre()
	{
		this.ViewText = @""from album in docs.Albums
where album.Genre != null
select new { Genre = album.Genre.Id }
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			where album.Genre != null
			select new { Genre = album.Genre.Id, __document_id = album.__document_id });
		this.AddField(""Genre"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Genre.Id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Genre.Id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByGenre : AbstractViewGenerator
{
	public Index_AlbumsByGenre()
	{
		this.ViewText = @""from album in docs.Albums
where album.Genre != null
select new { Genre = album.Genre.Id }
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			where album.Genre != null
			select new { Genre = album.Genre.Id, __document_id = album.__document_id });
		this.AddField(""Genre"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Genre.Id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Genre.Id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-01-17 21:35:47.0546;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Artists:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Artists : AbstractViewGenerator
{
	public Index_Artists()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.Artist.Id, album.Artist.Name }
from artist in results
group artist by new { artist.Id, artist.Name } into g
select new { g.Key.Id, g.Key.Name }

"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.Artist.Id, album.Artist.Name, __document_id = album.__document_id });
		this.ReduceDefinition = results => from artist in results
			group artist by new { artist.Id, artist.Name } into g
			select new { g.Key.Id, g.Key.Name };
		this.GroupByExtraction = artist => new { artist.Id, artist.Name };
		this.AddField(""Id"");
		this.AddField(""Name"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Artist.Id"");
		this.AddQueryParameterForMap(""Artist.Name"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Artist.Id"");
		this.AddQueryParameterForReduce(""Artist.Name"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Artists : AbstractViewGenerator
{
	public Index_Artists()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.Artist.Id, album.Artist.Name }
from artist in results
group artist by new { artist.Id, artist.Name } into g
select new { g.Key.Id, g.Key.Name }

"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.Artist.Id, album.Artist.Name, __document_id = album.__document_id });
		this.ReduceDefinition = results => from artist in results
			group artist by new { artist.Id, artist.Name } into g
			select new { g.Key.Id, g.Key.Name };
		this.GroupByExtraction = artist => new { artist.Id, artist.Name };
		this.AddField(""Id"");
		this.AddField(""Name"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Artist.Id"");
		this.AddQueryParameterForMap(""Artist.Name"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Artist.Id"");
		this.AddQueryParameterForReduce(""Artist.Name"");
	}
}
";
2012-01-17 21:35:47.2509;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-01-17 21:35:47.4394;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index SoldAlbums:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_SoldAlbums : AbstractViewGenerator
{
	public Index_SoldAlbums()
	{
		this.ViewText = @""from order in docs.Orders
from line in order.Lines
select new{ line.Album, line.Quantity }

from result in results
group result by result.Album into g
select new{ Album = g.Key, Quantity = g.Sum(x=>x.Quantity) }


"";
		this.ForEntityNames.Add(""Orders"");
		this.AddMapDefinition(docs => from order in docs
			where order[""@metadata""][""Raven-Entity-Name""] == ""Orders""
			from line in order.Lines
			select new { line.Album, line.Quantity, __document_id = order.__document_id });
		this.ReduceDefinition = results => from result in results
			group result by result.Album into g
			select new { Album = g.Key, Quantity = g.Sum(x => x.Quantity) };
		this.GroupByExtraction = result => result.Album;
		this.AddField(""Album"");
		this.AddField(""Quantity"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Lines,Album"");
		this.AddQueryParameterForMap(""Lines,Quantity"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Lines,Album"");
		this.AddQueryParameterForReduce(""Lines,Quantity"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_SoldAlbums : AbstractViewGenerator
{
	public Index_SoldAlbums()
	{
		this.ViewText = @""from order in docs.Orders
from line in order.Lines
select new{ line.Album, line.Quantity }

from result in results
group result by result.Album into g
select new{ Album = g.Key, Quantity = g.Sum(x=>x.Quantity) }


"";
		this.ForEntityNames.Add(""Orders"");
		this.AddMapDefinition(docs => from order in docs
			where order[""@metadata""][""Raven-Entity-Name""] == ""Orders""
			from line in order.Lines
			select new { line.Album, line.Quantity, __document_id = order.__document_id });
		this.ReduceDefinition = results => from result in results
			group result by result.Album into g
			select new { Album = g.Key, Quantity = g.Sum(x => x.Quantity) };
		this.GroupByExtraction = result => result.Album;
		this.AddField(""Album"");
		this.AddField(""Quantity"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""Lines,Album"");
		this.AddQueryParameterForMap(""Lines,Quantity"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""Lines,Album"");
		this.AddQueryParameterForReduce(""Lines,Quantity"");
	}
}
";
2012-01-17 21:35:47.4394;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index AlbumsByCountSold;
2012-01-17 21:35:47.4843;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for AlbumsByCountSold;
2012-01-17 21:35:47.5253;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index AlbumsByGenre;
2012-01-17 21:35:47.5253;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for AlbumsByGenre;
2012-01-17 21:35:47.5312;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index Artists;
2012-01-17 21:35:47.5312;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Artists;
2012-01-17 21:35:47.5312;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index Raven/DocumentsByEntityName;
2012-01-17 21:35:47.5312;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-01-17 21:35:47.5312;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index SoldAlbums;
2012-01-17 21:35:47.5312;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for SoldAlbums;
2012-01-17 21:35:47.6152;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2012-01-17 21:35:47.6347;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2012-01-17 21:35:47.6347;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 - step 1/2;
2012-01-17 21:35:47.6347;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 - step 2/2;
2012-01-17 21:35:47.6875;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 21:35:47.7363;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 21:35:47.7363;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 21:35:47.7363;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 21:45:47.6875;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 21:55:47.6875;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 22:05:47.6875;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 22:15:47.6875;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-17 22:21:27.0361;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    24 ms - <default>  - 200 - /docs?pageSize=0&noCache=-1135797027;
2012-01-17 22:21:27.5234;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=-1399291118;
2012-01-17 22:21:27.5576;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -     2 ms - <default>  - 200 - /docs?pageSize=0&noCache=-1200125713;
2012-01-17 22:21:27.5625;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -    47 ms - <default>  - 200 - /build/version?noCache=-1639061392;
2012-01-17 22:21:27.5771;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -     4 ms - <default>  - 200 - /license/status?noCache=452200409;
2012-01-17 22:21:27.6933;Raven.Database.Server.HttpServer;Debug;Request #   6: GET     -    50 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=54324632;
2012-01-17 22:21:27.7031;Raven.Database.Server.HttpServer;Debug;Request #   7: GET     -    80 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=2043426421;
2012-01-17 22:21:27.8320;Raven.Database.Server.HttpServer;Debug;Request #   8: GET     -   120 ms - <default>  - 200 - /stats?noCache=-315667256;
2012-01-17 22:21:33.5595;Raven.Database.Server.HttpServer;Debug;Request #   9: GET     -    32 ms - <default>  - 200 - /stats?noCache=-230790994;
2012-01-17 22:21:41.7207;Raven.Database.Server.HttpServer;Debug;Request #  10: GET     -    40 ms - <default>  - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=-625906258;
2012-01-17 22:21:41.9599;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Albums;
2012-01-17 22:21:42.0595;Raven.Database.Server.HttpServer;Debug;Request #  11: GET     -   126 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AAlbums&start=0&pageSize=0&aggregation=None;
2012-01-17 22:21:42.0625;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Genres;
2012-01-17 22:21:42.0625;Raven.Database.Server.HttpServer;Debug;Request #  12: GET     -     1 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AGenres&start=0&pageSize=0&aggregation=None;
2012-01-17 22:21:42.0625;Raven.Database.Server.HttpServer;Debug;Request #  13: POST    -   162 ms - <default>  - 200 - /multi_get/;
2012-01-17 22:21:42.2509;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Albums;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/387' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/388' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/389' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/392' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/394' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/395' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/396' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/397' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/398' was found;
2012-01-17 22:21:42.3017;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/399' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/400' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/401' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/402' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/403' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/404' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/405' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/406' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/407' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/408' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/409' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/410' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/411' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/412' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/413' was found;
2012-01-17 22:21:42.3115;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/414' was found;
2012-01-17 22:21:42.3417;Raven.Database.Server.HttpServer;Debug;Request #  14: GET     -    91 ms - <default>  - 200 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AAlbums&start=0&pageSize=25&aggregation=None&noCache=-624759328;
2012-01-17 22:21:42.6806;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Albums;
2012-01-17 22:21:42.6806;Raven.Database.Server.HttpServer;Debug;Request #  15: GET     -     2 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AAlbums&start=0&pageSize=0&aggregation=None;
2012-01-17 22:21:42.6806;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Genres;
2012-01-17 22:21:42.6806;Raven.Database.Server.HttpServer;Debug;Request #  16: GET     -     1 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AGenres&start=0&pageSize=0&aggregation=None;
2012-01-17 22:21:42.6806;Raven.Database.Server.HttpServer;Debug;Request #  17: POST    -     6 ms - <default>  - 200 - /multi_get/;
2012-01-17 22:21:42.8232;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Albums;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/387' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/388' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/389' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/392' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/394' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/395' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/396' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/397' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/398' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/399' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/400' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/401' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/402' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/403' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/404' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/405' was found;
2012-01-17 22:21:42.8232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/406' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/407' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/408' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/409' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/410' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/411' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/412' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/413' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/414' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/415' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/416' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/418' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/419' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/420' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/421' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/422' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/423' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/424' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/425' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/426' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/427' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/428' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/429' was found;
2012-01-17 22:21:42.8271;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'albums/430' was found;
2012-01-17 22:21:47.8291;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Raven/DocumentsByEntityName for: Tag:Albums;
2012-01-17 22:21:47.8291;Raven.Database.Server.HttpServer;Debug;Request #  18: GET     -     1 ms - <default>  - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AAlbums&start=0&pageSize=0&aggregation=None;
